Englisch, Deutsch
a,ein
abandon,aufgeben
ability,Fähigkeit
able,fähig
abortion,Abbruch
about,um
above,Oben
abroad,im Ausland
absence,Abwesenheit
absolute,absolut
absolutely,unbedingt
absorb,absorbieren
abuse,Missbrauch
academic,akademisch
accept,annehmen
access,Zugang
accident,Unfall
accompany,begleiten
accomplish,erreichen
according,gemäß
account,Konto
accurate,genau
accuse,beschuldigen
achieve,erreichen
achievement,Leistung
acid,Säure
acknowledge,anerkennen
acquire,erwerben
across,über
act,Handlung
action,Aktion
active,aktiv
activist,Aktivist
activity,Aktivität
actor,Schauspieler
actress,Darstellerin
actual,tatsächlich
actually,eigentlich
ad,Anzeige
adapt,sich anpassen
add,hinzufügen
addition,Zusatz
additional,zusätzlich
address,die Anschrift
adequate,angemessen
adjust,anpassen
adjustment,Einstellung
administration,Verwaltung
administrator,Administrator
admire,bewundern
admission,Eintritt
admit,zugeben
adolescent,Jugendlicher
adopt,adoptieren
adult,Erwachsene
advance,Vorauszahlung
advanced,fortschrittlich
advantage,Vorteil
adventure,Abenteuer
advertising,Werbung
advice,Rat
advise,beraten
adviser,Berater
advocate,Fürsprecher
affair,Affäre
affect,beeinträchtigen
afford,sich leisten
afraid,besorgt
African,afrikanisch
African-American,Afroamerikaner
after,nach
afternoon,Nachmittag
again,wieder
against,gegen
age,das Alter
agency,Agentur
agenda,Agenda
agent,Agent
aggressive,aggressiv
ago,vor
agree,zustimmen
agreement,Zustimmung
agricultural,landwirtschaftlich
ah,Ah
ahead,voraus
aid,Hilfe
aide,Berater
AIDS,AIDS
aim,Ziel
air,Luft
aircraft,Flugzeug
airline,Fluggesellschaft
airport,Flughafen
album,Album
alcohol,Alkohol
alive,am Leben
all,alle
alliance,Allianz
allow,ermöglichen
ally,Verbündete
almost,fast
alone,allein
along,eine lange
already,schon
also,Auch
alter,ändern
alternative,Alternative
although,obwohl
always,stets
AM,BIN
amazing,toll
American,amerikanisch
among,unter
amount,Menge
analysis,Analyse
analyst,Analytiker
analyze,analysieren
ancient,alt
and,und
anger,Wut
angle,Winkel
angry,wütend
animal,Tier
anniversary,Jubiläum
announce,bekannt geben
annual,jährlich
another,Ein weiterer
answer,Antworten
anticipate,antizipieren
anxiety,Angst
any,irgendein
anybody,irgendjemand
anymore,mehr
anyone,jeder
anything,irgendetwas
anyway,ohnehin
anywhere,irgendwo
apart,ein Teil
apartment,Wohnung
apparent,ersichtlich
apparently,offenbar
appeal,appellieren
appear,erscheinen
appearance,Aussehen
apple,Apfel
application,Anwendung
apply,anwenden
appoint,ernennen
appointment,geplanter Termin
appreciate,im Wert steigen
approach,sich nähern
appropriate,angemessen
approval,die Genehmigung
approve,genehmigen
approximately,etwa
Arab,Araber
architect,Architekt
area,Bereich
argue,streiten
argument,Streit
arise,entstehen
arm,Arm
armed,bewaffnet
army,Heer
around,um
arrange,arrangieren
arrangement,Anordnung
arrest,Festnahme
arrival,Ankunft
arrive,ankommen
art,Kunst
article,Artikel
artist,Künstler
artistic,künstlerisch
as,wie
Asian,asiatisch
aside,beiseite
ask,Fragen
asleep,schlafend
aspect,Aspekt
assault,Angriff
assert,behaupten
assess,bewerten
assessment,Bewertung
asset,Anlage
assign,zuordnen
assignment,Abtretung
assist,helfen
assistance,Hilfe
assistant,Assistent
associate,assoziieren
association,Verband
assume,davon ausgehen
assumption,Annahme
assure,versichern
at,bei
athlete,Athlet
athletic,sportlich
atmosphere,Atmosphäre
attach,anfügen
attack,Attacke
attempt,versuchen
attend,teilnehmen
attention,Aufmerksamkeit
attitude,Attitüde
attorney,Rechtsanwalt
attract,anlocken
attractive,attraktiv
attribute,Attribut
audience,Publikum
author,Autor
authority,Behörde
auto,Auto
available,verfügbar
average,Durchschnitt
avoid,vermeiden
award,vergeben
aware,bewusst
awareness,Bewusstsein
away,ein Weg
awful,furchtbar
baby,Baby
back,der Rücken
background,Hintergrund
bad,Schlecht
badly,schlecht
bag,Tasche
bake,backen
balance,Gleichgewicht
ball,Ball
ban,Verbot
band,Band
bank,Bank
bar,Bar
barely,kaum
barrel,Fass
barrier,Barriere
base,Base
baseball,Baseball
basic,Basic
basically,Grundsätzlich
basis,Basis
basket,Korb
basketball,Basketball
bathroom,Bad
battery,Batterie
battle,Schlacht
be,sein
beach,Strand
bean,Bohne
bear,Bär
beat,schlagen
beautiful,schön
beauty,Schönheit
because,Weil
become,werden
bed,Bett
